#Cfactor 0.0599323
Recipient	PC578	PA334	PC593	PC580	PA040	PC617	PC621	PA346	PC631.r	PC618	PC623	PC616	PA341	PC581	PA363	PC622	PA255	PA329	PC582	PC630	PC579	PA256	PC614	PA332	PA049	PC592	PC587	PA354	PA047	PA343	PC586	PA331
PC578	0	1176.82	2225.82	1168.23	1053.44	1150.7	970.771	1633.94	1232.92	1161.33	951.553	1154.34	1070.76	1183.08	2273.32	921.943	1555.85	1213.27	1617.66	1542.73	2341.56	1575.27	1213.28	1175.62	1033.29	1248.77	1061.13	1538.42	1023.97	1651.4	2273.41	948.422
PA334	1176.61	0	1138.7	2844.16	1135.71	1800.09	974.82	1180.48	1113.26	1849.66	949.216	1802.6	1138.46	2991.03	1136.59	938.131	1183.21	1283.85	1174.77	1184.84	1168.06	1171.47	1097.17	2910.6	1127.84	1119.35	1144.98	1188.47	1102.19	1204.88	1158.43	953.365
PC593	2227.18	1140.21	0	1117.28	1038.59	1116.46	973.29	1608.43	1400.86	1116.48	957.798	1108.98	1021.32	1131.21	2336.82	1057.52	1511.48	1203.79	1580.14	1490.47	2226.94	1545.22	1360.75	1138.87	1020.32	1288.95	1031.02	1483.96	1158.41	1596.86	2395.7	957.689
PC580	1173.17	2848.32	1120.98	0	1159.79	1766.11	990.459	1152.85	1107.76	1810.78	947.238	1782.28	1122.79	2803.33	1108.73	954.153	1271.25	1355.33	1160.04	1182.46	1191.92	1190.38	1150.58	2849.63	1205.83	1131.58	1173.81	1167.8	1104.96	1222.58	1167.37	968.751
PA040	1053.86	1135.29	1036.8	1154.52	0	1205.31	1009.07	1058.2	1050.71	1228.75	1002.37	1206.23	2943.13	1130.76	1006.42	985.288	1082.9	1705.96	1046.21	1066.66	1028.63	1056.73	1042.31	1147.65	3412.87	1059.37	2848.62	1053.72	3448.71	1072.11	1052.59	1011.24
PC617	1151.33	1800.73	1115.99	1762.29	1206.21	0	1008.68	1175.39	1119.54	3277.84	995.879	3288.3	1225.92	1811.31	1143.19	952.075	1139.23	1337.6	1168.18	1210.58	1143.43	1154.81	1198.08	1780.81	1176.62	1134.05	1220.92	1189.42	1179.97	1184.84	1114.92	974.858
PC621	972.588	976.581	975.095	986.88	1012.45	1009.52	0	945.144	983.46	1000.93	4988.39	999.882	1020.73	953.586	939.968	4871.18	957.46	1256.76	950.182	993.773	958.353	945.394	1031.84	939.962	982.784	979.961	1045.58	987.419	977.715	987.914	925.921	4785.61
PA346	1632.01	1179.54	1605.73	1146.67	1057.25	1173.09	942.478	0	1293.54	1165.69	946.184	1167.24	1067.69	1186.62	1641.16	926.975	2146.7	1208.22	2245.34	1705.92	1623.69	2212.22	1237.6	1180.14	1017.65	1296.34	1043.53	1699.02	1036.37	1973.39	1629.94	955.049
PC631.r	1232.36	1112.75	1399.03	1101.99	1050.38	1118.44	980.411	1294.47	0	1115.85	982.137	1116.06	1060.27	1103.54	1219.48	1093.9	1271.13	1271.77	1287.46	1300.69	1226.31	1292.05	4266.39	1090.34	1039.21	4321.59	1040.61	1300.52	1165.91	1277.65	1232.99	977.308
PC618	1160.5	1849.08	1114.29	1805.42	1228.18	3279.45	998.638	1166.03	1115.8	0	968.564	3281.12	1222.52	1836.81	1117.11	929.9	1159.34	1338.06	1165.03	1189.7	1140.62	1158.91	1124.89	1825.77	1193.55	1125.27	1224.35	1173.22	1187.25	1185.74	1114.88	962.997
PC623	952.819	950.06	958.09	942.645	1004.63	996.057	4997.12	947.912	984.464	969.801	0	997.905	1015.63	960.692	957.076	4996.49	943.991	1287.01	944.332	992.302	943.033	940.224	986.141	934.989	968.301	958.212	1002.28	1001.13	984.291	976.124	928.674	4920.58
PC616	1155.16	1803.59	1108.36	1778.49	1207.33	3290.9	999.783	1170.24	1117.18	3280.01	997.718	0	1236.13	1821.57	1149.02	952.004	1145.65	1338.03	1156.54	1199.85	1139.98	1156.19	1161.07	1790.24	1189.77	1128.93	1226.97	1193.12	1177.16	1188.85	1112.81	970.362
PA341	1072.96	1139.13	1020.68	1118.33	2946.32	1226.55	1020.01	1069.44	1061.75	1223.99	1015.47	1235.86	0	1158.4	1073.27	990.725	1034.85	1700.3	1071.66	1088.55	1053.02	1054.2	1034.58	1131.52	2889.28	1063.01	3644.41	1088.56	2987.61	1089.47	1033.24	1005.85
PC581	1182.32	2989.66	1128.85	2798.73	1130.28	1810.84	950.985	1187.17	1103.34	1836.94	959.257	1819.92	1156.88	0	1177.98	932.346	1170.53	1276.51	1185.9	1193.49	1170.79	1172.54	1072.71	2940.65	1107.95	1112.9	1148.73	1207.01	1109.62	1196.16	1154.31	957.679
PA363	2279.52	1140.12	2339.15	1106.88	1010.01	1145.75	941.683	1646.45	1223.51	1121.12	959.694	1151.46	1076.09	1182.46	0	960.311	1522.86	1227.67	1627.47	1537.01	2308.77	1580.35	1181.45	1155.64	994.941	1242.84	1072.49	1583.86	1005.51	1660.93	2402.43	954.549
PC622	924.077	939.892	1059.22	950.246	988.338	952.922	4875.07	929.838	1097.44	932.275	4998.43	952.8	991.99	934.846	958.676	0	938.639	1282.62	927.88	961.9	926.983	941.408	1081.25	927.568	986.651	961.372	998.073	972.269	1096.51	962.662	923.373	4967.79
PA255	1557.33	1185.31	1511.66	1268.45	1085.13	1140.62	957.759	2156.85	1273.34	1162.04	945.011	1146.69	1036.2	1173.23	1521.01	938.607	0	1305.89	2175.93	1621.44	1580.19	2458.49	1305.05	1222.2	1147.91	1324.95	1063.8	1599.55	1047.67	1867.12	1592.85	970.734
PA329	1234.15	1304.7	1224.42	1371.92	1735.2	1358.61	1275.72	1230.99	1293.98	1360.6	1311.25	1358.68	1725.4	1298.2	1245.35	1302.35	1325.15	0	1257.02	1282.98	1256.48	1275.15	1309.82	1333.14	1764.53	1309.6	1755.49	1302.52	1691.62	1295.64	1255.3	1297.08
PC582	1616.43	1174.35	1577.13	1154.26	1045.71	1167.23	947.741	2249.86	1286.65	1164.86	942.869	1155.63	1070.32	1186.27	1622.49	925.257	2166.34	1235.72	0	1712.5	1617.79	2224.99	1243.75	1174.5	1030.98	1304.84	1045.69	1711.85	1038.69	1963.67	1622.6	962.012
PC630	1542.26	1184.32	1489.01	1176.65	1067.01	1209.41	991.619	1710.42	1300.7	1190.4	991.155	1198.43	1087.5	1193.77	1532.92	959.463	1620.9	1260.47	1717.2	0	1547.8	1660.63	1315.48	1190.37	1043.08	1315.47	1061.2	3481.8	1039.91	1769.15	1511.29	983.19
PC579	2342.03	1168.72	2224.6	1186.87	1029.04	1142.68	956.749	1625.25	1227.07	1141.33	942.243	1138.97	1052.07	1171.81	2303.4	925.125	1578.68	1235.71	1619.17	1547.62	0	1593.68	1215.8	1180.45	1038	1250.33	1059.24	1536.95	1003.27	1657.65	2300.25	948.24
PA256	1573.98	1170.82	1542.53	1184.63	1056.09	1153.42	942.804	2215.62	1291.19	1158.75	939.289	1154.4	1052.78	1172.47	1575.72	938.898	2453.02	1253.9	2228.67	1657.49	1592.38	0	1271.06	1190.92	1076.92	1311.57	1065.09	1639.26	1037.61	1885.62	1594.32	961.771
PC614	1217.44	1101.77	1364.16	1149.73	1047.01	1201.73	1034.53	1243.77	4272.53	1130.23	989.306	1164.46	1038.29	1077.97	1183.05	1083.91	1308.08	1293.22	1250.07	1320.6	1220.1	1277.53	0	1108.24	1090.4	4211	1050.47	1266.46	1172.13	1281.74	1219.24	973.832
PA332	1175.48	2911.85	1136.89	2845	1147.6	1780.63	938.046	1181.07	1090.77	1825.68	934.087	1787.93	1130.63	2940.28	1151.62	925.612	1220.05	1311.21	1174.98	1190.35	1180.37	1191.59	1103.36	0	1167.04	1124.04	1135.81	1183.21	1116.77	1211.02	1170.57	959.46
PA049	1036.64	1130.32	1021.28	1202.62	3416.03	1178.36	983.57	1021.41	1042.17	1196.88	970.267	1191.63	2889.97	1111.5	994.183	986.755	1148.56	1745.24	1034.77	1045.9	1040.31	1080.26	1088.01	1169.9	0	1070.66	2876.64	1027.95	3466.94	1077.89	1079.94	1016.43
PC592	1248.5	1119.03	1288.1	1125.74	1059.38	1133.31	978.869	1298.12	4328.77	1125.63	957.623	1127.71	1062.38	1114.23	1239.52	959.303	1323.56	1287.59	1306.48	1316.24	1250.25	1313.35	4209.01	1124.1	1067.87	0	1064.39	1313.17	1039.16	1301.48	1270.44	989.678
PC587	1066.45	1149.57	1034.13	1173.09	2854.26	1224.37	1048.58	1049.15	1045.99	1229.68	1006.16	1231.07	3648.11	1153.94	1073.32	1000.83	1066.34	1738.66	1051	1066.25	1063.54	1070.4	1050.91	1140.54	2878.25	1068.5	0	1090.46	2903.3	1104.09	1039.75	1022.32
PA354	1540.83	1190.95	1485.13	1165.67	1056.17	1191.13	988.328	1706.43	1304.22	1176.37	1003.1	1194.5	1091.05	1210.42	1582.7	973.022	1601.84	1283.87	1720.89	3491.18	1539.83	1644.39	1264.97	1186.55	1028.41	1315.65	1088.27	0	1038.28	1776.41	1506.53	995.923
PA047	1023.52	1100.99	1155.7	1098.56	3450.03	1177.68	975.059	1036.4	1164.68	1185.76	982.46	1175.26	2985.58	1109.46	1001.01	1093.09	1044.55	1666.81	1038.46	1038.56	1001.85	1037.29	1166.54	1115.4	3461.88	1038.13	2897.51	1034.73	0	1056.75	1037.14	992.183
PA343	1653.1	1207.09	1597.08	1219.41	1074.5	1186.39	988.828	1987.54	1280.11	1188.36	977.519	1189.88	1090.85	1199.17	1658.83	963.035	1870	1275.75	1971.45	1769.06	1659.95	1891.34	1278.79	1214.09	1077.32	1303.3	1101.78	1772.7	1060.57	0	1641.85	993.336
PC586	2275.59	1157.26	2392.45	1161.06	1051.71	1112.86	922.881	1630.82	1232.27	1114.33	926.482	1110.59	1031.44	1154	2398.71	919.389	1589.99	1232.7	1623.33	1510.51	2302.41	1595.09	1213.46	1169.77	1076.13	1269.37	1034.18	1502.88	1036.87	1638.76	0	955.706
PA331	950.614	955.622	959.553	965.435	1014.48	976.67	4796.12	958.153	981.146	965.773	4933.35	971.388	1007.4	961.111	953.379	4973.14	970.802	1277.66	964.142	985.778	950.417	964.608	971.484	961.739	1016.08	992.641	1019.76	995.527	996.532	993.381	959.113	0
