ID,BPTP,PTP,GMYC
PA331,1,1,1
PA112,1,1,1
PA113,1,1,1
PA114,1,1,1
PA120,1,1,1
PA263,1,1,1
PA299,1,1,1
PA300,1,1,1
PA302,1,1,1
PA303,1,1,1
PA304,1,1,1
PA306,1,1,1
PC622,1,1,1
PC623,1,1,1
PA206,11,11,11
PC540,12,12,12
PA168,11,11,11
PA205,11,11,11
PA257,11,11,11
PA259,11,11,11
PA260,11,11,11
PA329,11,11,11
PA816,11,11,11
PA238,2,2,2
PA261,2,2,2
PA262,2,2,2
PA799,2,2,2
PA800,2,2,2
PA801,2,2,2
PA762,2,2,2
PA330,2,2,2
PA720,2,2,2
PA727,2,2,2
PA728,2,2,2
PB944,2,2,2
PC558,2,2,2
PC560,2,2,2
PC561,2,2,2
PA332,2,2,2
PA334,2,2,2
PC581,2,2,2
PA230,2,2,2
PA719,2,2,2
PA729,2,2,2
PA730,2,2,2
PA731,2,2,2
PC559,15,15,15
PA314,6,6,6
PA315,6,6,6
PA160,5,5,5
PA264,5,5,5
PA284,5,5,5
PA285,5,5,5
PA286,5,5,5
PA287,5,5,5
PA288,5,5,5
PA289,5,5,5
PC616,5,5,5
PC617,5,5,5
PA309,5,5,5
PA156,5,5,5
PA266,5,5,5
PA275,5,5,5
PA276,5,5,5
PA279,5,5,5
PA282,5,5,5
PA311,5,5,5
PA313,5,5,5
PA530,15,15,15
PA340,15,15,15
PC578,15,15,15
PA167,15,15,15
PA328,16,16,16
PC563,15,15,15
PA110,15,15,15
PA055,15,15,15
PA222,15,15,15
PA223,15,15,15
PA102,15,15,15
PA052,15,15,15
PA001,15,15,15
PA003,15,15,15
PA023,15,15,15
PA098,15,15,15
PA099,15,15,15
PA149,15,15,15
PA320,15,15,15
PA411,15,15,15
PA561,15,15,15
PA226,15,15,15
PA823,15,15,15
PA655,15,15,15
PA657,15,15,15
PB270,16,16,16
PA321,9,9,9
PA157,10,10,10
PA158,10,10,10
PA159,10,10,10
PA292,10,10,10
PA293,10,10,10
PA294,10,10,10
PA295,10,10,10
PA268,10,10,10
PA296,10,10,10
PA297,10,10,10
PA155,8,8,8
PA162,8,8,8
PA348,8,8,8
PC587,8,8,8
PA033,8,8,8
PA035,8,8,8
PA036,8,8,8
PA040,8,8,8
PA048,8,8,8
PA007,4,4,4
PA143,4,4,4
PA152,4,4,4
PA743,4,4,4
PA645,4,4,4
PA702,13,13,13
PA703,13,13,13
PA764,13,13,13
PA122,13,13,13
PA124,13,13,13
PA125,13,13,13
PA126,13,13,13
PA011,13,13,13
PA012,13,13,13
PA255,14,14,14
PA256,13,13,13
PA217,7,7,7
PA806,13,13,13
PA166,13,13,13
PA225,13,13,13
PA004,13,13,13
PA006,13,13,13
PA153,13,13,13
PA770,7,7,7
PA772,7,7,7
PA342,7,7,7
PB523,13,13,13
PB525,13,13,13
PB600,13,13,13
PB601,13,13,13
PA229,13,13,13
PA346,13,13,13
PB549,13,13,13
PB553,13,13,13
PA803,7,7,7
PA805,7,7,7
PA070,3,3,3
PA216,3,3,3
PA745,3,3,3
PC455,3,3,3
PC643,3,3,3
PC644,3,3,3
