ID,ABGD,ASAP
PA205,2,2
PA206,2,2
PA257,2,2
PA258,2,2
PA259,2,2
PA260,2,2
PA112,1,1
PA120,1,1
PA121,1,1
PA299,1,1
PA331,1,1
PA230,3,3
PA238,3,3
PA261,3,3
PA262,3,3
PA330,3,3
PA332,3,3
PA334,3,3
PA727,3,3
PA728,3,3
PA799,3,3
PA156,4,5
PA160,4,5
PA264,4,5
PA276,4,5
PA278,4,5
PA309,4,5
PA310,4,5
PA313,4,5
PA314,4,5
PA003,8,4
PA052,8,4
PA055,8,4
PA098,8,4
PA099,8,4
PA110,8,4
PA149,8,4
PA167,8,4
PA320,8,4
PA328,8,4
PA735,8,4
PA823,8,4
PA845,8,4
PA033,5,6
PA036,5,6
PA048,5,6
PA348,5,6
PA158,9,6
PA265,9,6
PA268,9,6
PA291,9,6
PA292,9,6
PA293,9,6
PA294,9,6
PA295,9,6
PA296,9,6
PA297,9,6
PA321,9,6
PA143,6,7
PA152,6,7
PA227,6,7
PA228,6,7
PA006,6,7
PA012,6,7
PA126,6,7
PA153,6,7
PA166,6,7
PA217,6,7
PA224,6,7
PA225,6,7
PA229,6,7
PA255,6,7
PA256,6,7
PA342,6,7
PA343,6,7
PA344,6,7
PA346,6,7
PA216,7,7
