ID,ABGD,ASAP
PA259,2,2
PA260,2,2
PA329,2,2
PA813,2,2
PA815,2,2
PA816,2,2
PA818,2,2
PC540,2,3
PA112,1,1
PA120,1,1
PA121,1,1
PA299,1,1
PA300,1,1
PA302,1,1
PA303,1,1
PA304,1,1
PA305,1,1
PA306,1,1
PC622,1,1
PC623,1,1
PA230,3,4
PA238,3,4
PA261,3,4
PA262,3,4
PA330,3,4
PA332,3,4
PA334,3,4
PA727,3,4
PA728,3,4
PA762,3,4
PA763,3,4
PA800,3,4
PA801,3,4
PB944,3,4
PC558,3,4
PC560,3,4
PC561,3,4
PC580,3,4
PC581,3,4
PA160,4,5
PA264,4,5
PA276,4,5
PA278,4,5
PA279,4,5
PA280,4,5
PA281,4,5
PA282,4,5
PA283,4,5
PA284,4,5
PA285,4,5
PA286,4,5
PA288,4,5
PA289,4,5
PA290,4,5
PA308,4,5
PA309,4,5
PA310,4,5
PA311,4,5
PA312,4,5
PA313,4,5
PC616,4,5
PC617,4,5
PA003,7,14
PA052,7,14
PA110,7,14
PA167,7,14
PA222,7,14
PA226,7,14
PA340,7,14
PA411,7,14
PA530,7,14
PA531,7,14
PA532,7,14
PA561,7,14
PA648,7,14
PA649,7,14
PA650,7,14
PA651,7,14
PA652,7,14
PA653,7,14
PA654,7,14
PA655,7,14
PA656,7,14
PA657,7,14
PA725,7,14
PA823,7,14
PB270,7,14
PC563,7,14
PC578,7,14
PC579,7,14
PC585,7,14
PA033,5,6
PA040,5,6
PA048,5,6
PA155,5,6
PA162,5,6
PA345,5,6
PA348,5,6
PC587,5,6
PC633,5,6
PA157,5,7
PA158,5,7
PA159,5,7
PA161,5,7
PA265,5,7
PA268,5,7
PA269,5,7
PA291,5,7
PA292,5,7
PA293,5,7
PA294,5,7
PA295,5,7
PA296,5,7
PA321,5,8
PA143,6,9
PA645,6,9
PA743,6,9
PC592,6,9
PC614,6,9
PA012,6,10
PA122,6,10
PA123,6,10
PA124,6,10
PA125,6,10
PA126,6,10
PA136,6,10
PA139,6,10
PA153,6,10
PA166,6,10
PA201,6,10
PA224,6,10
PA225,6,10
PA256,6,10
PA346,6,10
PA702,6,10
PA703,6,10
PA764,6,10
PA765,6,10
PA806,6,10
PB521,6,10
PB522,6,10
PB523,6,10
PB524,6,10
PB525,6,10
PB549,6,10
PB550,6,10
PB551,6,10
PB552,6,10
PB553,6,10
PB554,6,10
PB555,6,10
PB600,6,10
PB601,6,10
PB602,6,10
PB603,6,10
PC499,6,10
PC500,6,10
PC525,6,10
PA217,6,11
PA343,6,11
PA770,6,11
PA771,6,11
PA772,6,11
PA805,6,11
PA255,6,12
PA766,6,13
PA070,6,13
PA216,6,13
PA745,6,13
PC453,6,13
PC454,6,13
PC455,6,13
PC456,6,13
PC643,6,13
PC644,6,13
PC645,6,13
PC646,6,13
