ID,ABGD,ASAP
PA168,2,2
PA169,2,2
PA205,2,2
PA206,2,2
PA257,2,2
PA258,2,2
PA259,2,2
PA260,2,2
PA112,1,1
PA113,1,1
PA114,1,1
PA115,1,1
PA116,1,1
PA117,1,1
PA118,1,1
PA119,1,1
PA120,1,1
PA121,1,1
PA263,1,1
PA267,1,1
PA299,1,1
PA300,1,1
PA302,1,1
PA303,1,1
PA304,1,1
PA305,1,1
PA306,1,1
PA331,1,1
PA230,3,3
PA238,3,3
PA261,3,3
PA262,3,3
PA330,3,3
PA332,3,3
PA334,3,3
PA720,3,3
PA723,3,3
PA727,3,3
PA728,3,3
PA732,3,3
PA762,3,3
PA763,3,3
PA799,3,3
PA800,3,3
PA801,3,3
PA156,4,4
PA160,4,4
PA264,4,4
PA266,4,4
PA271,4,4
PA272,4,4
PA273,4,4
PA274,4,4
PA275,4,4
PA276,4,4
PA277,4,4
PA278,4,4
PA279,4,4
PA280,4,4
PA281,4,4
PA282,4,4
PA283,4,4
PA284,4,4
PA285,4,4
PA286,4,4
PA287,4,4
PA288,4,4
PA289,4,4
PA290,4,4
PA307,4,4
PA308,4,4
PA309,4,4
PA310,4,4
PA311,4,4
PA312,4,4
PA313,4,4
PA314,4,5
PA315,4,5
PA001,8,10
PA002,8,10
PA003,8,10
PA014,8,10
PA015,8,10
PA020,8,10
PA023,8,10
PA052,8,10
PA053,8,10
PA055,8,10
PA098,8,10
PA099,8,10
PA102,8,10
PA109,8,10
PA110,8,10
PA135,8,10
PA144,8,10
PA149,8,10
PA150,8,10
PA163,8,10
PA164,8,10
PA165,8,10
PA167,8,10
PA198,8,10
PA210,8,10
PA211,8,10
PA212,8,10
PA214,8,10
PA215,8,10
PA222,8,10
PA223,8,10
PA226,8,10
PA320,8,10
PA340,8,10
PA590,8,10
PA648,8,10
PA722,8,10
PA725,8,10
PA726,8,10
PA733,8,10
PA734,8,10
PA735,8,10
PA823,8,10
PA845,8,10
PB270,8,10
PA033,5,6
PA035,5,6
PA036,5,6
PA037,5,6
PA038,5,6
PA039,5,6
PA040,5,6
PA042,5,6
PA044,5,6
PA048,5,6
PA155,5,6
PA157,5,6
PA158,5,6
PA159,5,6
PA161,5,6
PA162,5,6
PA265,5,6
PA268,5,6
PA269,5,6
PA291,5,6
PA292,5,6
PA293,5,6
PA294,5,6
PA295,5,6
PA296,5,6
PA297,5,6
PA321,5,6
PA348,5,6
PA007,6,7
PA008,6,7
PA009,6,7
PA027,6,7
PA143,6,7
PA152,6,7
PA202,6,7
PA227,6,7
PA228,6,7
PA317,6,7
PA318,6,7
PA319,6,7
PA591,6,7
PA645,6,7
PA004,6,8
PA006,6,8
PA011,6,8
PA012,6,8
PA013,6,8
PA101,6,8
PA122,6,8
PA123,6,8
PA124,6,8
PA125,6,8
PA126,6,8
PA127,6,8
PA128,6,8
PA129,6,8
PA130,6,8
PA131,6,8
PA132,6,8
PA133,6,8
PA136,6,8
PA137,6,8
PA139,6,8
PA140,6,8
PA141,6,8
PA142,6,8
PA151,6,8
PA153,6,8
PA166,6,8
PA201,6,8
PA213,6,8
PA224,6,8
PA225,6,8
PA229,6,8
PA255,6,8
PA256,6,8
PA346,6,8
PA702,6,8
PA703,6,8
PA803,6,8
PA804,6,8
PA805,6,8
PA806,6,8
PB521,6,8
PB549,6,8
PA070,7,9
PA216,7,9
PA745,7,9
PC453,7,9
PC454,7,9
PC455,7,9
PC456,7,9
