voucher,long,lat
PA012,14.73093995,45.79950251
PA122,14.74859357,45.65994115
PA123,14.74859357,45.65994115
PA124,14.74859357,45.65994115
PA125,14.74859357,45.65994115
PA126,14.74859357,45.65994115
PA136,14.73093995,45.79950251
PA139,14.73093995,45.79950251
PA153,15.166772,45.592261
PA166,14.78954216,45.70822136
PA201,14.73093995,45.79950251
PA217,14.72513699,45.91778442
PA224,14.78954216,45.70822136
PA225,14.78954216,45.70822136
PA255,15.21676222,45.63482189
PA256,15.21676222,45.63482189
PA343,14.76712528,45.88712278
PA346,15.06126036,45.75598838
PA702,15.0453,45.7394
PA703,15.0453,45.7394
PA764,14.94481174,45.81039298
PA765,14.94481174,45.81039298
PA766,14.94481174,45.81039298
PA770,14.68632309,45.8392687
PA771,14.68632309,45.8392687
PA772,14.68632309,45.8392687
PA805,14.70548735,45.9039246
PA806,15.19221667,45.60842778
PB521,14.89536111,45.65471667
PB522,14.89536111,45.65471667
PB523,14.89536111,45.65471667
PB524,14.89536111,45.65471667
PB525,14.89536111,45.65471667
PB549,14.88704444,45.64921111
PB550,14.88704444,45.64921111
PB551,14.88704444,45.64921111
PB552,14.88704444,45.64921111
PB553,14.88704444,45.64921111
PB554,14.88704444,45.64921111
PB555,14.88704444,45.64921111
PB600,14.942967,45.810083
PB601,14.942967,45.810083
PB602,14.942967,45.810083
PB603,14.942967,45.810083
PC499,14.9622194,45.51282723
PC500,14.9622194,45.51282723
PC525,14.89536111,45.65471667
