voucher,long,lat
PA004,15.166772,45.592261
PA006,15.166772,45.592261
PA011,14.73093995,45.79950251
PA012,14.73093995,45.79950251
PA013,15.166772,45.592261
PA101,15.17073562,45.60426056
PA122,14.74859357,45.65994115
PA123,14.74859357,45.65994115
PA124,14.74859357,45.65994115
PA125,14.74859357,45.65994115
PA126,14.74859357,45.65994115
PA127,14.74859357,45.65994115
PA128,14.74859357,45.65994115
PA129,14.74859357,45.65994115
PA130,14.74859357,45.65994115
PA131,14.74859357,45.65994115
PA132,15.166772,45.592261
PA133,15.166772,45.592261
PA136,14.73093995,45.79950251
PA137,15.166772,45.592261
PA139,14.73093995,45.79950251
PA140,15.166772,45.592261
PA141,15.166772,45.592261
PA142,15.166772,45.592261
PA151,15.166772,45.592261
PA153,15.166772,45.592261
PA166,14.78954216,45.70822136
PA201,14.73093995,45.79950251
PA213,15.166772,45.592261
PA224,14.78954216,45.70822136
PA225,14.78954216,45.70822136
PA229,15.0612604,45.75598838
PA255,15.21676222,45.63482189
PA256,15.21676222,45.63482189
PA346,15.06126036,45.75598838
PA702,15.0453,45.7394
PA703,15.0453,45.7394
PA803,14.70548735,45.9039246
PA804,14.70548735,45.9039246
PA805,14.70548735,45.9039246
PA806,15.19221667,45.60842778
PB521,14.89536111,45.65471667
PB549,14.88704444,45.64921111
