voucher,locality,lineage,long,lat
PA004,Otovški zdenec,Dolenjska,15.166772,45.592261
PA006,Otovški zdenec,Dolenjska,15.166772,45.592261
PA011,Kompoljska jama,Dolenjska,14.73093995,45.79950251
PA012,Kompoljska jama,Dolenjska,14.73093995,45.79950251
PA013,Otovški zdenec,Dolenjska,15.166772,45.592261
PA101,Stobe,Dolenjska,15.17073562,45.60426056
PA122,Gr?arice,Dolenjska,14.74859357,45.65994115
PA123,Gr?arice,Dolenjska,14.74859357,45.65994115
PA124,Gr?arice,Dolenjska,14.74859357,45.65994115
PA125,Gr?arice,Dolenjska,14.74859357,45.65994115
PA126,Gr?arice,Dolenjska,14.74859357,45.65994115
PA127,Gr?arice,Dolenjska,14.74859357,45.65994115
PA128,Gr?arice,Dolenjska,14.74859357,45.65994115
PA129,Gr?arice,Dolenjska,14.74859357,45.65994115
PA130,Gr?arice,Dolenjska,14.74859357,45.65994115
PA131,Gr?arice,Dolenjska,14.74859357,45.65994115
PA132,Otovški zdenec,Dolenjska,15.166772,45.592261
PA133,Otovški zdenec,Dolenjska,15.166772,45.592261
PA136,Kompoljska jama,Dolenjska,14.73093995,45.79950251
PA137,Otovški zdenec,Dolenjska,15.166772,45.592261
PA139,Kompoljska jama,Dolenjska,14.73093995,45.79950251
PA140,Otovški zdenec,Dolenjska,15.166772,45.592261
PA141,Otovški zdenec,Dolenjska,15.166772,45.592261
PA142,Otovški zdenec,Dolenjska,15.166772,45.592261
PA151,Otovški zdenec,Dolenjska,15.166772,45.592261
PA153,Otovški zdenec,Dolenjska,15.166772,45.592261
PA166,Mobi šaht,Dolenjska,14.78954216,45.70822136
PA201,Kompoljska jama,Dolenjska,14.73093995,45.79950251
PA213,Otovški zdenec,Dolenjska,15.166772,45.592261
PA224,Mobi šaht,Dolenjska,14.78954216,45.70822136
PA225,Mobi šaht,Dolenjska,14.78954216,45.70822136
PA229,"Suhorec, Dolenjske Toplice",Dolenjska,15.0612604,45.75598838
PA255,Krupa,Dolenjska,15.21676222,45.63482189
PA256,Krupa,Dolenjska,15.21676222,45.63482189
PA346,Sušica,Dolenjska,15.06126036,45.75598838
PA702,?rmošnjica v Podturnu,Dolenjska,15.0453,45.7394
PA703,?rmošnjica v Podturnu,Dolenjska,15.0453,45.7394
PA803,Virsnica,Dolenjska,14.70548735,45.9039246
PA804,Virsnica,Dolenjska,14.70548735,45.9039246
PA805,Virsnica,Dolenjska,14.70548735,45.9039246
PA806,Mavsarjeva jama,Dolenjska,15.19221667,45.60842778
PB521,Remihov mlin,Dolenjska,14.89536111,45.65471667
PB549,Velika Stankova jama,Dolenjska,14.88704444,45.64921111
