voucher,locality,lineage,long,lat
PA112,Pincinova jama,Istra,13.63515516,45.28740829
PA120,Pincinova jama,Istra,13.63515516,45.28740829
PA121,Pincinova jama,Istra,13.63515516,45.28740829
PA299,Pincinova jama,Istra,13.63515516,45.28740829
PA300,Pincinova jama,Istra,13.63515516,45.28740829
PA302,Pincinova jama,Istra,13.63515516,45.28740829
PA303,Pincinova jama,Istra,13.63515516,45.28740829
PA304,Pincinova jama,Istra,13.63515516,45.28740829
PA305,Pincinova jama,Istra,13.63515516,45.28740829
PA306,Pincinova jama,Istra,13.63515516,45.28740829
PC622,Pincinova jama,Istra,13.63515516,45.28740829
PC623,Pincinova jama,Istra,13.63515516,45.28740829
