voucher,long,lat
PA112,13.63515516,45.28740829
PA113,13.63515516,45.28740829
PA114,13.63515516,45.28740829
PA115,13.63515516,45.28740829
PA116,13.63515516,45.28740829
PA117,13.63515516,45.28740829
PA118,13.63515516,45.28740829
PA119,13.63515516,45.28740829
PA120,13.63515516,45.28740829
PA121,13.63515516,45.28740829
PA263,13.63515516,45.28740829
PA267,13.63515516,45.28740829
PA299,13.63515516,45.28740829
PA300,13.63515516,45.28740829
PA302,13.63515516,45.28740829
PA303,13.63515516,45.28740829
PA304,13.63515516,45.28740829
PA305,13.63515516,45.28740829
PA306,13.63515516,45.28740829
PA331,14.15998546,45.17021515
