voucher,long,lat
PA230,13.48411557,45.8746078
PA238,13.59042041,45.78919862
PA261,13.5963478,45.79063642
PA262,13.5963478,45.79063642
PA330,13.85082,45.68038
PA332,13.80572627,45.70885132
PA334,13.5043015,45.88874519
PA727,13.85082,45.68038
PA728,13.85082,45.68038
PA762,13.87647355,45.69683177
PA763,13.87647355,45.69683177
PA800,13.5963478,45.79063642
PA801,13.5963478,45.79063642
PB944,13.85082,45.68038
PC558,13.82859056,45.68448285
PC560,13.82859056,45.68448285
PC561,13.82859056,45.68448285
PC580,13.51983333,45.81952778
PC581,13.5043015,45.88874519
