voucher,locality,lineage,long,lat
PA230,Sagrado,Kras,13.48411557,45.8746078
PA238,CartieraTimavo,Kras,13.59042041,45.78919862
PA261,Duino,Kras,13.5963478,45.79063642
PA262,Duino,Kras,13.5963478,45.79063642
PA330,Jama Sežanske reke,Kras,13.85082,45.68038
PA332,Lazaro Jerko,Kras,13.80572627,45.70885132
PA334,Pozzo del Frari,Kras,13.5043015,45.88874519
PA727,Jama Sežanske reke,Kras,13.85082,45.68038
PA728,Jama Sežanske reke,Kras,13.85082,45.68038
PA762,Jama 1 v Kanjaducah,Kras,13.87647355,45.69683177
PA763,Jama 1 v Kanjaducah,Kras,13.87647355,45.69683177
PA800,Duino,Kras,13.5963478,45.79063642
PA801,Duino,Kras,13.5963478,45.79063642
PB944,Jama Sežanske reke,Kras,13.85082,45.68038
PC558,Labodnica,Kras,13.82859056,45.68448285
PC560,Labodnica,Kras,13.82859056,45.68448285
PC561,Labodnica,Kras,13.82859056,45.68448285
PC580,Grotta Nevio,Kras,13.51983333,45.81952778
PC581,Pozzo del Frari,Kras,13.5043015,45.88874519
