voucher,long,lat
PA160,15.24161203,45.04034812
PA264,15.24161203,45.04034812
PA276,15.225353,45.185884
PA278,15.225353,45.185884
PA279,15.225353,45.185884
PA280,15.225353,45.185884
PA281,15.225353,45.185884
PA282,15.225353,45.185884
PA283,15.225353,45.185884
PA284,15.24161203,45.04034812
PA285,15.24161203,45.04034812
PA286,15.24161203,45.04034812
PA288,15.24161203,45.04034812
PA289,15.24161203,45.04034812
PA290,15.24161203,45.04034812
PA308,15.1911667,45.0695833
PA309,15.1911667,45.0695833
PA310,15.1911667,45.0695833
PA311,15.225353,45.185884
PA312,15.22371978,45.20938829
PA313,15.22371978,45.20938829
PC616,15.24161203,45.04034812
PC617,15.24161203,45.04034812
