voucher,locality,lineage,long,lat
PA160,Markarova pe?ina,Lika,15.24161203,45.04034812
PA264,Markarova pe?ina,Lika,15.24161203,45.04034812
PA276,Rupe?ica,Lika,15.225353,45.185884
PA278,Rupe?ica,Lika,15.225353,45.185884
PA279,Rupe?ica,Lika,15.225353,45.185884
PA280,Rupe?ica,Lika,15.225353,45.185884
PA281,Rupe?ica,Lika,15.225353,45.185884
PA282,Rupe?ica,Lika,15.225353,45.185884
PA283,Rupe?ica,Lika,15.225353,45.185884
PA284,Markarova pe?ina,Lika,15.24161203,45.04034812
PA285,Markarova pe?ina,Lika,15.24161203,45.04034812
PA286,Markarova pe?ina,Lika,15.24161203,45.04034812
PA288,Markarova pe?ina,Lika,15.24161203,45.04034812
PA289,Markarova pe?ina,Lika,15.24161203,45.04034812
PA290,Markarova pe?ina,Lika,15.24161203,45.04034812
PA308,Rokina bezdana,Lika,15.1911667,45.0695833
PA309,Rokina bezdana,Lika,15.1911667,45.0695833
PA310,Rokina bezdana,Lika,15.1911667,45.0695833
PA311,Rupe?ica,Lika,15.225353,45.185884
PA312,Sabljaci,Lika,15.22371978,45.20938829
PA313,Sabljaci,Lika,15.22371978,45.20938829
PC616,Markarova pe?ina,Lika,15.24161203,45.04034812
PC617,Markarova pe?ina,Lika,15.24161203,45.04034812
