voucher,locality,lineage,long,lat
PA003,Planinska jama,Ljubljanica,14.24566502,45.81989527
PA052,Najdena jama,Ljubljanica,14.24548371,45.87630253
PA110,Malo okence,Ljubljanica,14.29541835,45.95144627
PA167,Gašpinova,Ljubljanica,14.23573699,45.91070877
PA222,Mejame,Ljubljanica,13.98765736,45.65148321
PA226,Podlazi,Ljubljanica,13.84449,45.83124
PA340,Bedenj,Ljubljanica,14.26283333,45.86136667
PA411,Planinska jama,Ljubljanica,14.24566502,45.81989527
PA530,?rna jama,Ljubljanica,14.20728108,45.79957036
PA531,?rna jama,Ljubljanica,14.20728108,45.79957036
PA532,?rna jama,Ljubljanica,14.20728108,45.79957036
PA561,Planinska jama,Ljubljanica,14.24566502,45.81989527
PA648,Brajnice,Ljubljanica,14.342792,45.8618
PA649,Brajnice,Ljubljanica,14.342792,45.8618
PA650,Vetrovna luknja,Ljubljanica,14.27517695,45.88127216
PA651,Vetrovna luknja,Ljubljanica,14.27517695,45.88127216
PA652,Vetrovna luknja,Ljubljanica,14.27517695,45.88127216
PA653,Vetrovna luknja,Ljubljanica,14.27517695,45.88127216
PA654,Vetrovna luknja,Ljubljanica,14.27517695,45.88127216
PA655,Vetrovna luknja,Ljubljanica,14.27517695,45.88127216
PA656,Vetrovna luknja,Ljubljanica,14.27517695,45.88127216
PA657,Vetrovna luknja,Ljubljanica,14.27517695,45.88127216
PA725,Jama Sežanske reke,Ljubljanica,13.85082,45.68038
PA823,"Raša, cisterna za vodo",Ljubljanica,13.9375,45.756206
PB270,Vipavska jama,Ljubljanica,13.96459331,45.84469197
PC563,Labodnica,Ljubljanica,13.82859056,45.68448285
PC578,Ferranova buža,Ljubljanica,14.25206653,45.9763211
PC579,Ferranova buža,Ljubljanica,14.25206653,45.9763211
PC585,"Kljunov ribnik, Pivško",Ljubljanica,14.239692,45.643181
