voucher,long,lat
PA001,14.24566502,45.81989527
PA002,14.24566502,45.81989527
PA003,14.24566502,45.81989527
PA014,14.24566502,45.81989527
PA015,14.24566502,45.81989527
PA020,14.24566502,45.81989527
PA023,14.24566502,45.81989527
PA052,14.24548371,45.87630253
PA053,13.84449,45.83124
PA055,13.98765736,45.65148321
PA098,14.24566502,45.81989527
PA099,14.24566502,45.81989527
PA102,14.29202,45.95404
PA109,14.29541835,45.95144627
PA110,14.29541835,45.95144627
PA135,14.17480341,45.71088895
PA144,14.17480341,45.71088895
PA149,14.24566502,45.81989527
PA150,14.24566502,45.81989527
PA163,14.2958284,45.94969446
PA164,14.2958284,45.94969446
PA165,14.2958284,45.94969446
PA167,14.23573699,45.91070877
PA198,14.24566502,45.81989527
PA210,14.24566502,45.81989527
PA211,14.24566502,45.81989527
PA212,14.24566502,45.81989527
PA214,14.24566502,45.81989527
PA215,14.24566502,45.81989527
PA222,13.98765736,45.65148321
PA223,13.98765736,45.65148321
PA226,13.84449,45.83124
PA320,14.24566502,45.81989527
PA340,14.26283333,45.86136667
PA590,14.24566502,45.81989527
PA648,14.342792,45.8618
PA722,13.85082,45.68038
PA725,13.85082,45.68038
PA726,13.85082,45.68038
PA733,13.85082,45.68038
PA734,13.85082,45.68038
PA735,13.85082,45.68038
PA823,13.9375,45.756206
PA845,14.46310234,45.72530136
PB270,13.96459331,45.84469197
