voucher,locality,lineage,long,lat
PA033,Vrelo Stuba,Para-littoral,16.74466727,43.62102697
PA040,Vrelo Stuba,Para-littoral,16.74466727,43.62102697
PA048,Vrelo Stuba,Para-littoral,16.74466727,43.62102697
PA155,Vjetrenica,Para-littoral,17.98388833,42.8458
PA157,Miljacka I,Para-littoral,16.01861835,44.00313313
PA158,Miljacka I,Para-littoral,16.01861835,44.00313313
PA159,Miljacka I,Para-littoral,16.01861835,44.00313313
PA161,Torak,Para-littoral,16.01330699,43.81712828
PA162,Vjetrenica,Para-littoral,17.98388833,42.8458
PA265,Miljacka I,Para-littoral,16.01861835,44.00313313
PA268,Torak,Para-littoral,16.01330699,43.81712828
PA269,Miljacka I,Para-littoral,16.01861835,44.00313313
PA291,Miljacka I,Para-littoral,16.01861835,44.00313313
PA292,Miljacka I,Para-littoral,16.01861835,44.00313313
PA293,Miljacka I,Para-littoral,16.01861835,44.00313313
PA294,Miljacka I,Para-littoral,16.01861835,44.00313313
PA295,Miljacka I,Para-littoral,16.01861835,44.00313313
PA296,Torak,Para-littoral,16.01330699,43.81712828
PA321,"Gorica, Trebinje",Para-littoral,18.36863902,42.71444254
PA345,Vrelo Stuba,Para-littoral,16.74466727,43.62102697
PA348,Vjetrenica,Para-littoral,17.98388833,42.8458
PC587,Vjetrenica,Para-littoral,17.98388833,42.8458
PC633,Studenci,Para-littoral,17.60904422,43.17594038
