voucher,locality,lineage,long,lat
PA070,Rupnica,Sti?na,14.79391194,45.94875526
PA216,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PA745,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC453,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC454,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC455,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC456,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC643,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC644,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC645,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PC646,Vir pri Sti?ni,Sti?na,14.815247,45.948785
