voucher,long,lat
PA003,14.24566502,45.81989527
PA006,15.166772,45.592261
PA012,14.73093995,45.79950251
PA033,16.74466727,43.62102697
PA036,16.74466727,43.62102697
PA048,16.74466727,43.62102697
PA052,14.24548371,45.87630253
PA055,13.98765736,45.65148321
PA098,14.24566502,45.81989527
PA099,14.24566502,45.81989527
PA110,14.29541835,45.95144627
PA112,13.63515516,45.28740829
PA120,13.63515516,45.28740829
PA121,13.63515516,45.28740829
PA126,14.74859357,45.65994115
PA143,15.14915368,45.57308209
PA149,14.24566502,45.81989527
PA152,15.14915368,45.57308209
PA153,15.166772,45.592261
PA156,15.225353,45.185884
PA158,16.01861835,44.00313313
PA160,15.24161203,45.04034812
PA166,14.78954216,45.70822136
PA167,14.23573699,45.91070877
PA205,16.47131,44.70055
PA206,16.63832,44.710006
PA216,14.815247,45.948785
PA217,14.72513699,45.91778442
PA224,14.78954216,45.70822136
PA225,14.78954216,45.70822136
PA227,15.14915368,45.57308209
PA228,15.14915368,45.57308209
PA229,15.0612604,45.75598838
PA230,13.48411557,45.8746078
PA238,13.59042041,45.78919862
PA255,15.21676222,45.63482189
PA256,15.21676222,45.63482189
PA257,16.47131,44.70055
PA258,16.47131,44.70055
PA259,16.47131,44.70055
PA260,16.47131,44.70055
PA261,13.5963478,45.79063642
PA262,13.5963478,45.79063642
PA264,15.24161203,45.04034812
PA265,16.01861835,44.00313313
PA268,16.01330699,43.81712828
PA276,15.225353,45.185884
PA278,15.225353,45.185884
PA291,16.01861835,44.00313313
PA292,16.01861835,44.00313313
PA293,16.01861835,44.00313313
PA294,16.01861835,44.00313313
PA295,16.01861835,44.00313313
PA296,16.01330699,43.81712828
PA297,16.01330699,43.81712828
PA299,13.63515516,45.28740829
PA309,15.1911667,45.0695833
PA310,15.1911667,45.0695833
PA313,15.22371978,45.20938829
PA314,15.23254529,45.21325808
PA320,14.24566502,45.81989527
PA321,18.36863902,42.71444254
PA328,13.87647355,45.69683177
PA330,13.85082,45.68038
PA331,14.15998546,45.17021515
PA332,13.80572627,45.70885132
PA334,13.5043015,45.88874519
PA342,14.76712528,45.88712278
PA343,14.76712528,45.88712278
PA344,14.76712528,45.88712278
PA346,15.06126036,45.75598838
PA348,17.98388833,42.8458
PA727,13.85082,45.68038
PA728,13.85082,45.68038
PA735,13.85082,45.68038
PA799,13.5963478,45.79063642
PA823,13.9375,45.756206
PA845,14.46310234,45.72530136
