voucher,locality,lineage,long,lat
PA003,Planinska jama,Ljubljanica,14.24566502,45.81989527
PA006,Otovški zdenec,Dolenjska,15.166772,45.592261
PA012,Kompoljska jama,Dolenjska,14.73093995,45.79950251
PA033,Vrelo Stuba,Para-littoral,16.74466727,43.62102697
PA036,Vrelo Stuba,Para-littoral,16.74466727,43.62102697
PA048,Vrelo Stuba,Para-littoral,16.74466727,43.62102697
PA052,Najdena jama,Ljubljanica,14.24548371,45.87630253
PA055,Mejame,Ljubljanica,13.98765736,45.65148321
PA098,Planinska jama,Ljubljanica,14.24566502,45.81989527
PA099,Planinska jama,Ljubljanica,14.24566502,45.81989527
PA110,Malo okence,Ljubljanica,14.29541835,45.95144627
PA112,Pincinova jama,Istra,13.63515516,45.28740829
PA120,Pincinova jama,Istra,13.63515516,45.28740829
PA121,Pincinova jama,Istra,13.63515516,45.28740829
PA126,Gr?arice,Dolenjska,14.74859357,45.65994115
PA143,Jelševnik,parkelj,15.14915368,45.57308209
PA149,Planinska jama,Ljubljanica,14.24566502,45.81989527
PA152,Jelševnik,parkelj,15.14915368,45.57308209
PA153,Otovški zdenec,Dolenjska,15.166772,45.592261
PA156,Rupe?ica,Lika,15.225353,45.185884
PA158,Miljacka I,Para-littoral,16.01861835,44.00313313
PA160,Markarova pe?ina,Lika,15.24161203,45.04034812
PA166,Mobi šaht,Dolenjska,14.78954216,45.70822136
PA167,Gašpinova,Ljubljanica,14.23573699,45.91070877
PA205,Suvaja pe?ina,Krajina,16.47131,44.70055
PA206,Dabarska pe?ina,Krajina,16.63832,44.710006
PA216,Vir pri Sti?ni,Sti?na,14.815247,45.948785
PA217,Lu?ka jama,Dolenjska,14.72513699,45.91778442
PA224,Mobi šaht,Dolenjska,14.78954216,45.70822136
PA225,Mobi šaht,Dolenjska,14.78954216,45.70822136
PA227,Jelševnik,parkelj,15.14915368,45.57308209
PA228,Jelševnik,parkelj,15.14915368,45.57308209
PA229,"Suhorec, Dolenjske Toplice",Dolenjska,15.0612604,45.75598838
PA230,Sagrado,Kras,13.48411557,45.8746078
PA238,CartieraTimavo,Kras,13.59042041,45.78919862
PA255,Krupa,Dolenjska,15.21676222,45.63482189
PA256,Krupa,Dolenjska,15.21676222,45.63482189
PA257,Suvaja pe?ina,Krajina,16.47131,44.70055
PA258,Suvaja pe?ina,Krajina,16.47131,44.70055
PA259,Suvaja pe?ina,Krajina,16.47131,44.70055
PA260,Suvaja pe?ina,Krajina,16.47131,44.70055
PA261,Duino,Kras,13.5963478,45.79063642
PA262,Duino,Kras,13.5963478,45.79063642
PA264,Markarova pe?ina,Lika,15.24161203,45.04034812
PA265,Miljacka I,Para-littoral,16.01861835,44.00313313
PA268,Torak,Para-littoral,16.01330699,43.81712828
PA276,Rupe?ica,Lika,15.225353,45.185884
PA278,Rupe?ica,Lika,15.225353,45.185884
PA291,Miljacka I,Para-littoral,16.01861835,44.00313313
PA292,Miljacka I,Para-littoral,16.01861835,44.00313313
PA293,Miljacka I,Para-littoral,16.01861835,44.00313313
PA294,Miljacka I,Para-littoral,16.01861835,44.00313313
PA295,Miljacka I,Para-littoral,16.01861835,44.00313313
PA296,Torak,Para-littoral,16.01330699,43.81712828
PA297,Torak,Para-littoral,16.01330699,43.81712828
PA299,Pincinova jama,Istra,13.63515516,45.28740829
PA309,Rokina bezdana,Lika,15.1911667,45.0695833
PA310,Rokina bezdana,Lika,15.1911667,45.0695833
PA313,Sabljaci,Lika,15.22371978,45.20938829
PA314,Ivina špilja,Lika,15.23254529,45.21325808
PA320,Planinska jama,Ljubljanica,14.24566502,45.81989527
PA321,"Gorica, Trebinje",Para-littoral,18.36863902,42.71444254
PA328,Jama 1 v Kanjaducah,Ljubljanica,13.87647355,45.69683177
PA330,Jama Sežanske reke,Kras,13.85082,45.68038
PA331,Krsan,Istra,14.15998546,45.17021515
PA332,Lazaro Jerko,Kras,13.80572627,45.70885132
PA334,Pozzo del Frari,Kras,13.5043015,45.88874519
PA342,Poltarica,Dolenjska,14.76712528,45.88712278
PA343,Poltarica,Dolenjska,14.76712528,45.88712278
PA344,Poltarica,Dolenjska,14.76712528,45.88712278
PA346,Sušica,Dolenjska,15.06126036,45.75598838
PA348,Vjetrenica,Para-littoral,17.98388833,42.8458
PA727,Jama Sežanske reke,Kras,13.85082,45.68038
PA728,Jama Sežanske reke,Kras,13.85082,45.68038
PA735,Jama Sežanske reke,Ljubljanica,13.85082,45.68038
PA799,Duino,Kras,13.5963478,45.79063642
PA823,"Raša, cisterna za vodo",Ljubljanica,13.9375,45.756206
PA845,Lož,Ljubljanica,14.46310234,45.72530136
