voucher,long,lat
PA003,14.24566502,45.81989527
PA012,14.73093995,45.79950251
PA033,16.74466727,43.62102697
PA040,16.74466727,43.62102697
PA048,16.74466727,43.62102697
PA052,14.24548371,45.87630253
PA070,14.79391194,45.94875526
PA110,14.29541835,45.95144627
PA112,13.63515516,45.28740829
PA120,13.63515516,45.28740829
PA121,13.63515516,45.28740829
PA122,14.74859357,45.65994115
PA123,14.74859357,45.65994115
PA124,14.74859357,45.65994115
PA125,14.74859357,45.65994115
PA126,14.74859357,45.65994115
PA136,14.73093995,45.79950251
PA139,14.73093995,45.79950251
PA143,15.14915368,45.57308209
PA153,15.166772,45.592261
PA155,17.98388833,42.8458
PA157,16.01861835,44.00313313
PA158,16.01861835,44.00313313
PA159,16.01861835,44.00313313
PA160,15.24161203,45.04034812
PA161,16.01330699,43.81712828
PA162,17.98388833,42.8458
PA166,14.78954216,45.70822136
PA167,14.23573699,45.91070877
PA201,14.73093995,45.79950251
PA216,14.815247,45.948785
PA217,14.72513699,45.91778442
PA222,13.98765736,45.65148321
PA224,14.78954216,45.70822136
PA225,14.78954216,45.70822136
PA226,13.84449,45.83124
PA230,13.48411557,45.8746078
PA238,13.59042041,45.78919862
PA255,15.21676222,45.63482189
PA256,15.21676222,45.63482189
PA259,16.47131,44.70055
PA260,16.47131,44.70055
PA261,13.5963478,45.79063642
PA262,13.5963478,45.79063642
PA264,15.24161203,45.04034812
PA265,16.01861835,44.00313313
PA268,16.01330699,43.81712828
PA269,16.01861835,44.00313313
PA276,15.225353,45.185884
PA278,15.225353,45.185884
PA279,15.225353,45.185884
PA280,15.225353,45.185884
PA281,15.225353,45.185884
PA282,15.225353,45.185884
PA283,15.225353,45.185884
PA284,15.24161203,45.04034812
PA285,15.24161203,45.04034812
PA286,15.24161203,45.04034812
PA288,15.24161203,45.04034812
PA289,15.24161203,45.04034812
PA290,15.24161203,45.04034812
PA291,16.01861835,44.00313313
PA292,16.01861835,44.00313313
PA293,16.01861835,44.00313313
PA294,16.01861835,44.00313313
PA295,16.01861835,44.00313313
PA296,16.01330699,43.81712828
PA299,13.63515516,45.28740829
PA300,13.63515516,45.28740829
PA302,13.63515516,45.28740829
PA303,13.63515516,45.28740829
PA304,13.63515516,45.28740829
PA305,13.63515516,45.28740829
PA306,13.63515516,45.28740829
PA308,15.1911667,45.0695833
PA309,15.1911667,45.0695833
PA310,15.1911667,45.0695833
PA311,15.225353,45.185884
PA312,15.22371978,45.20938829
PA313,15.22371978,45.20938829
PA321,18.36863902,42.71444254
PA329,16.47131,44.70055
PA330,13.85082,45.68038
PA332,13.80572627,45.70885132
PA334,13.5043015,45.88874519
PA340,14.26283333,45.86136667
PA343,14.76712528,45.88712278
PA345,16.74466727,43.62102697
PA346,15.06126036,45.75598838
PA348,17.98388833,42.8458
PA411,14.24566502,45.81989527
PA530,14.20728108,45.79957036
PA531,14.20728108,45.79957036
PA532,14.20728108,45.79957036
PA561,14.24566502,45.81989527
PA645,15.147472,45.569253
PA648,14.342792,45.8618
PA649,14.342792,45.8618
PA650,14.27517695,45.88127216
PA651,14.27517695,45.88127216
PA652,14.27517695,45.88127216
PA653,14.27517695,45.88127216
PA654,14.27517695,45.88127216
PA655,14.27517695,45.88127216
PA656,14.27517695,45.88127216
PA657,14.27517695,45.88127216
PA702,15.0453,45.7394
PA703,15.0453,45.7394
PA725,13.85082,45.68038
PA727,13.85082,45.68038
PA728,13.85082,45.68038
PA743,15.16656667,45.56240556
PA745,14.815247,45.948785
PA762,13.87647355,45.69683177
PA763,13.87647355,45.69683177
PA764,14.94481174,45.81039298
PA765,14.94481174,45.81039298
PA766,14.94481174,45.81039298
PA770,14.68632309,45.8392687
PA771,14.68632309,45.8392687
PA772,14.68632309,45.8392687
PA800,13.5963478,45.79063642
PA801,13.5963478,45.79063642
PA805,14.70548735,45.9039246
PA806,15.19221667,45.60842778
PA813,16.47131,44.70055
PA815,16.47131,44.70055
PA816,16.47131,44.70055
PA818,16.47131,44.70055
PA823,13.9375,45.756206
PB270,13.96459331,45.84469197
PB521,14.89536111,45.65471667
PB522,14.89536111,45.65471667
PB523,14.89536111,45.65471667
PB524,14.89536111,45.65471667
PB525,14.89536111,45.65471667
PB549,14.88704444,45.64921111
PB550,14.88704444,45.64921111
PB551,14.88704444,45.64921111
PB552,14.88704444,45.64921111
PB553,14.88704444,45.64921111
PB554,14.88704444,45.64921111
PB555,14.88704444,45.64921111
PB600,14.942967,45.810083
PB601,14.942967,45.810083
PB602,14.942967,45.810083
PB603,14.942967,45.810083
PB944,13.85082,45.68038
PC453,14.815247,45.948785
PC454,14.815247,45.948785
PC455,14.815247,45.948785
PC456,14.815247,45.948785
PC499,14.9622194,45.51282723
PC500,14.9622194,45.51282723
PC525,14.89536111,45.65471667
PC540,16.46342,44.70361
PC558,13.82859056,45.68448285
PC560,13.82859056,45.68448285
PC561,13.82859056,45.68448285
PC563,13.82859056,45.68448285
PC578,14.25206653,45.9763211
PC579,14.25206653,45.9763211
PC580,13.51983333,45.81952778
PC581,13.5043015,45.88874519
PC585,14.239692,45.643181
PC587,17.98388833,42.8458
PC592,15.147472,45.569253
PC614,15.147472,45.569253
PC616,15.24161203,45.04034812
PC617,15.24161203,45.04034812
PC622,13.63515516,45.28740829
PC623,13.63515516,45.28740829
PC633,17.60904422,43.17594038
PC643,14.815247,45.948785
PC644,14.815247,45.948785
PC645,14.815247,45.948785
PC646,14.815247,45.948785
