voucher,locality,lineage,long,lat
PA168,Suvaja pe?ina,Krajina,16.47131,44.70055
PA169,Suvaja pe?ina,Krajina,16.47131,44.70055
PA205,Suvaja pe?ina,Krajina,16.47131,44.70055
PA206,Dabarska pe?ina,Krajina,16.63832,44.710006
PA257,Suvaja pe?ina,Krajina,16.47131,44.70055
PA258,Suvaja pe?ina,Krajina,16.47131,44.70055
PA259,Suvaja pe?ina,Krajina,16.47131,44.70055
PA260,Suvaja pe?ina,Krajina,16.47131,44.70055
PA329,Suvaja pe?ina,Krajina,16.47131,44.70055
PA813,Suvaja pe?ina,Krajina,16.47131,44.70055
PA815,Suvaja pe?ina,Krajina,16.47131,44.70055
PA816,Suvaja pe?ina,Krajina,16.47131,44.70055
PA818,Suvaja pe?ina,Krajina,16.47131,44.70055
PC540,Oko,Krajina,16.46342,44.70361
PA112,Pincinova jama,Istra,13.63515516,45.28740829
PA113,Pincinova jama,Istra,13.63515516,45.28740829
PA114,Pincinova jama,Istra,13.63515516,45.28740829
PA115,Pincinova jama,Istra,13.63515516,45.28740829
PA116,Pincinova jama,Istra,13.63515516,45.28740829
PA117,Pincinova jama,Istra,13.63515516,45.28740829
PA118,Pincinova jama,Istra,13.63515516,45.28740829
PA119,Pincinova jama,Istra,13.63515516,45.28740829
PA120,Pincinova jama,Istra,13.63515516,45.28740829
PA121,Pincinova jama,Istra,13.63515516,45.28740829
PA263,Pincinova jama,Istra,13.63515516,45.28740829
PA267,Pincinova jama,Istra,13.63515516,45.28740829
PA299,Pincinova jama,Istra,13.63515516,45.28740829
PA300,Pincinova jama,Istra,13.63515516,45.28740829
PA302,Pincinova jama,Istra,13.63515516,45.28740829
PA303,Pincinova jama,Istra,13.63515516,45.28740829
PA304,Pincinova jama,Istra,13.63515516,45.28740829
PA305,Pincinova jama,Istra,13.63515516,45.28740829
PA306,Pincinova jama,Istra,13.63515516,45.28740829
PA331,Krsan,Istra,14.15998546,45.17021515
PC622,Pincinova jama,Istra,13.63515516,45.28740829
PC623,Pincinova jama,Istra,13.63515516,45.28740829
PA230,Sagrado,Kras,13.48411557,45.8746078
PA238,CartieraTimavo,Kras,13.59042041,45.78919862
PA261,Duino,Kras,13.5963478,45.79063642
PA262,Duino,Kras,13.5963478,45.79063642
PA330,Jama Sežanske reke,Kras,13.85082,45.68038
PA332,Lazaro Jerko,Kras,13.80572627,45.70885132
PA334,Pozzo del Frari,Kras,13.5043015,45.88874519
PA720,Jama Sežanske reke,Kras,13.85082,45.68038
PA723,Jama Sežanske reke,Kras,13.85082,45.68038
PA727,Jama Sežanske reke,Kras,13.85082,45.68038
PA728,Jama Sežanske reke,Kras,13.85082,45.68038
PA732,Jama Sežanske reke,Kras,13.85082,45.68038
PA762,Jama 1 v Kanjaducah,Kras,13.87647355,45.69683177
PA763,Jama 1 v Kanjaducah,Kras,13.87647355,45.69683177
PA799,Duino,Kras,13.5963478,45.79063642
